Date,High,Low,Close
2024-01-03,245.68,236.32,238.45
2024-01-04,242.7,237.73,237.93
2024-01-05,240.12,234.9,237.49
2024-01-08,241.25,235.3,240.45
2024-01-09,238.96,232.04,234.96
2024-01-10,235.5,231.29,233.94
2024-01-11,230.93,225.37,227.22
2024-01-12,225.34,217.15,218.89
2024-01-16,223.49,212.18,219.91
2024-01-17,215.67,212.01,215.55
2024-01-18,217.45,208.74,211.88
2024-01-19,213.19,207.56,212.19
2024-01-22,217.8,206.27,208.8
2024-01-23,215.65,207.75,209.14
2024-01-24,212.73,206.77,207.83
2024-01-25,193.0,180.06,182.63
2024-01-26,186.78,182.1,183.25
2024-01-29,191.48,183.67,190.93
2024-01-30,196.36,190.61,191.59
2024-01-31,193.97,185.85,187.29
2024-02-01,189.88,184.28,188.86
2024-02-02,188.69,182.0,187.91
2024-02-05,184.68,175.01,181.06
2024-02-06,186.49,177.11,185.1
2024-02-07,189.79,182.68,187.58
2024-02-08,191.62,185.58,189.56
2024-02-09,194.12,189.48,193.57
2024-02-12,194.73,187.28,188.13
2024-02-13,187.26,182.11,184.02
2024-02-14,188.89,183.35,188.71
2024-02-15,200.88,188.86,200.45
2024-02-16,203.17,197.4,199.95
2024-02-20,198.6,189.13,193.76
2024-02-21,199.44,191.95,194.77
2024-02-22,198.32,191.36,197.41
2024-02-23,197.57,191.5,191.97
2024-02-26,201.78,192.0,199.4
2024-02-27,205.6,198.26,199.73
2024-02-28,205.3,198.44,202.04
2024-02-29,205.28,198.45,201.88
2024-03-01,204.52,198.5,202.64
2024-03-04,199.75,186.72,188.14
2024-03-05,184.59,177.57,180.74
2024-03-06,181.58,173.7,176.54
2024-03-07,180.04,173.7,178.65
2024-03-08,182.73,174.7,175.34
2024-03-11,182.87,174.8,177.77
2024-03-12,179.43,172.41,177.54
2024-03-13,176.05,169.15,169.48
2024-03-14,171.17,160.51,162.5
2024-03-15,165.18,160.76,163.57
2024-03-18,174.72,165.9,173.8
2024-03-19,172.82,167.42,171.32
2024-03-20,176.25,170.82,175.66
2024-03-21,178.18,171.8,172.82
2024-03-22,171.2,166.3,170.83
2024-03-25,175.24,168.73,172.63
2024-03-26,184.25,177.38,177.67
2024-03-27,181.91,176.0,179.83
2024-03-28,179.57,175.3,175.79
2024-04-01,176.75,170.21,175.22
2024-04-02,167.69,163.43,166.63
2024-04-03,168.82,163.28,168.38
2024-04-04,177.19,168.01,171.11
2024-04-05,170.86,160.51,164.9
2024-04-08,174.5,167.79,172.98
2024-04-09,179.22,171.92,176.88
2024-04-10,174.93,170.01,171.76
2024-04-11,175.88,168.51,174.6
2024-04-12,173.81,170.36,171.05
2024-04-15,170.69,161.38,161.48
2024-04-16,158.19,153.75,157.11
2024-04-17,158.33,153.78,155.45
2024-04-18,152.2,148.7,149.93
2024-04-19,150.94,146.22,147.05
2024-04-22,144.44,138.8,142.05
2024-04-23,147.26,141.11,144.68
2024-04-24,167.97,157.51,162.13
2024-04-25,170.88,158.36,170.18
2024-04-26,172.12,166.37,168.29
2024-04-29,198.87,184.54,194.05
2024-04-30,190.95,182.84,183.28
2024-05-01,185.86,179.01,179.99
2024-05-02,184.6,176.02,180.01
2024-05-03,184.78,178.42,181.19
2024-05-06,187.56,182.2,184.76
2024-05-07,183.26,177.4,177.81
2024-05-08,176.06,170.15,174.72
2024-05-09,175.62,171.37,171.97
2024-05-10,173.06,167.75,168.47
2024-05-13,175.4,169.0,171.89
2024-05-14,179.49,174.07,177.55
2024-05-15,180.0,173.11,173.99
2024-05-16,175.79,171.43,174.84
2024-05-17,179.63,172.75,177.46
2024-05-20,177.75,173.52,174.95
2024-05-21,186.88,174.71,186.6
2024-05-22,183.8,178.12,180.11
2024-05-23,181.9,173.26,173.74
2024-05-24,180.08,173.73,179.24
2024-05-28,178.25,173.16,176.75
2024-05-29,178.15,173.93,176.19
2024-05-30,182.67,175.38,178.79
2024-05-31,180.32,173.82,178.08
2024-06-03,182.64,174.49,176.29
2024-06-04,177.76,174.0,174.77
2024-06-05,176.15,172.13,175.0
2024-06-06,179.73,172.73,177.94
2024-06-07,179.35,175.58,177.48
2024-06-10,178.57,173.17,173.79
2024-06-11,174.75,167.41,170.66
2024-06-12,180.55,169.8,177.29
2024-06-13,191.08,181.23,182.47
2024-06-14,186.0,176.92,178.01
2024-06-17,188.81,177.0,187.44
2024-06-18,187.2,182.37,184.86
2024-06-20,185.21,179.66,181.57
2024-06-21,183.95,180.69,183.01
2024-06-24,188.8,182.55,182.58
2024-06-25,187.97,182.01,187.35
2024-06-26,197.76,186.36,196.37
2024-06-27,198.72,194.05,197.42
2024-06-28,203.2,195.26,197.88
2024-07-01,213.23,200.85,209.86
2024-07-02,231.3,218.06,231.26
2024-07-03,248.35,234.25,246.39
2024-07-05,252.37,242.46,251.52
2024-07-08,259.44,244.57,252.94
2024-07-09,265.61,250.3,262.33
2024-07-10,267.59,257.86,263.26
2024-07-11,271.0,239.65,241.03
2024-07-12,251.84,233.09,248.23
2024-07-15,265.6,251.73,252.64
2024-07-16,258.62,245.8,256.56
2024-07-17,258.47,246.18,248.5
2024-07-18,257.14,247.2,249.23
2024-07-19,249.44,236.83,239.2
2024-07-22,253.21,243.75,251.51
2024-07-23,255.76,245.63,246.38
2024-07-24,225.99,214.71,215.99
2024-07-25,226.0,216.23,220.25
2024-07-26,222.28,215.33,219.8
2024-07-29,234.27,224.7,232.1
2024-07-30,232.41,220.0,222.62
2024-07-31,234.68,226.79,232.07
2024-08-01,231.87,214.33,216.86
2024-08-02,216.13,205.78,207.67
2024-08-05,203.88,182.0,198.88
2024-08-06,202.9,192.67,200.64
2024-08-07,203.49,191.48,191.76
2024-08-08,200.7,192.04,198.84
2024-08-09,200.88,195.11,200.0
2024-08-12,199.26,194.67,197.49
2024-08-13,208.49,197.06,207.83
2024-08-14,208.44,198.75,201.38
2024-08-15,215.88,204.82,214.14
2024-08-16,219.8,210.8,216.12
2024-08-19,222.98,214.09,222.72
2024-08-20,228.22,219.56,221.1
2024-08-21,224.66,218.86,223.27
2024-08-22,224.8,210.32,210.66
2024-08-23,221.48,214.21,220.32
2024-08-26,219.09,211.01,213.21
2024-08-27,215.66,206.94,209.21
2024-08-28,211.84,202.59,205.75
2024-08-29,214.89,205.97,206.28
2024-08-30,214.57,207.03,214.11
2024-09-03,219.9,209.64,210.6
2024-09-04,222.22,210.57,219.41
2024-09-05,235.0,222.25,230.17
2024-09-06,233.6,210.51,210.73
2024-09-09,219.87,213.67,216.27
2024-09-10,226.4,218.64,226.17
2024-09-11,228.47,216.8,228.13
2024-09-12,231.45,223.83,229.81
2024-09-13,232.67,226.32,230.29
2024-09-16,229.96,223.53,226.78
2024-09-17,234.57,226.55,227.87
2024-09-18,235.68,226.88,227.2
2024-09-19,244.24,232.13,243.92
2024-09-20,243.99,235.92,238.25
2024-09-23,250.0,241.92,250.0
2024-09-24,257.19,249.05,254.27
2024-09-25,257.05,252.28,257.02
2024-09-26,261.75,251.53,254.22
2024-09-27,260.7,254.12,260.46
2024-09-30,264.86,255.77,261.63
2024-10-01,263.98,248.53,258.02
2024-10-02,251.16,241.5,249.02
2024-10-03,249.79,237.81,240.66
2024-10-04,250.96,244.58,250.08
2024-10-07,249.83,240.7,240.83
2024-10-08,246.21,240.56,244.5
2024-10-09,247.43,239.51,241.05
2024-10-10,242.79,232.34,238.77
2024-10-11,223.34,214.38,217.8
2024-10-14,221.91,213.74,219.16
2024-10-15,224.26,217.12,219.57
2024-10-16,222.82,218.93,221.33
2024-10-17,222.08,217.9,220.89
2024-10-18,222.28,219.23,220.7
2024-10-21,220.48,215.73,218.85
2024-10-22,218.22,215.26,217.97
2024-10-23,218.72,212.11,213.65
2024-10-24,262.12,242.65,260.48
2024-10-25,269.49,255.32,269.19
2024-10-28,273.54,262.24,262.51
2024-10-29,264.98,255.51,259.52
2024-10-30,263.35,255.82,257.55
2024-10-31,259.75,249.25,249.85
2024-11-01,254.0,246.63,248.98
2024-11-04,248.9,238.88,242.84
2024-11-05,255.28,246.21,251.44
2024-11-06,289.59,275.62,288.53
2024-11-07,299.75,285.52,296.91
2024-11-08,328.71,297.66,321.22
2024-11-11,358.64,336.0,350.0
2024-11-12,345.84,323.31,328.49
2024-11-13,344.6,322.5,330.24
2024-11-14,329.98,310.37,311.18
2024-11-15,324.68,309.22,320.72
2024-11-18,348.55,330.01,338.74
2024-11-19,347.38,332.75,346.0
2024-11-20,346.6,334.3,342.03
2024-11-21,347.99,335.28,339.64
2024-11-22,361.53,337.7,352.56
2024-11-25,361.93,338.2,338.59
2024-11-26,346.96,335.66,338.23
2024-11-27,342.55,326.59,332.89
2024-11-29,345.45,334.65,345.16
2024-12-02,360.0,351.15,357.09
2024-12-03,355.69,348.2,351.42
2024-12-04,358.1,348.6,357.93
2024-12-05,375.43,359.5,369.49
2024-12-06,389.49,370.8,389.22
2024-12-09,404.8,378.01,389.79
2024-12-10,409.73,390.85,400.99
2024-12-11,424.88,402.38,424.77
2024-12-12,429.3,415.0,418.1
2024-12-13,436.3,415.71,436.23
2024-12-16,463.19,436.15,463.02
2024-12-17,483.99,457.51,479.86
2024-12-18,488.54,427.01,440.13
2024-12-19,456.36,420.02,436.17
2024-12-20,447.08,417.64,421.06
2024-12-23,434.51,415.41,430.6
2024-12-24,462.78,435.14,462.28
2024-12-26,465.33,451.02,454.13
2024-12-27,450.0,426.5,431.66
2024-12-30,427.0,415.75,417.41
2024-12-31,427.93,402.54,403.84
2025-01-02,392.73,373.04,379.28
2025-01-03,411.88,379.45,410.44
2025-01-06,426.43,401.7,411.05
