Date,High,High Change
2023-02-15,214.66,4.840000000000003
2023-02-16,217.65,2.990000000000009
2023-02-17,208.44,-9.210000000000008
2023-02-21,209.71,1.2700000000000102
2023-02-22,201.99,-7.719999999999999
2023-02-23,205.14,3.1499999999999773
2023-02-24,197.67,-7.469999999999999
2023-02-27,209.42,11.75
2023-02-28,211.23,1.8100000000000023
2023-03-01,207.2,-4.030000000000001
2023-03-02,193.75,-13.449999999999989
2023-03-03,200.48,6.72999999999999
2023-03-06,198.6,-1.8799999999999955
2023-03-07,194.2,-4.400000000000006
2023-03-08,186.5,-7.699999999999989
2023-03-09,185.18,-1.3199999999999932
2023-03-10,178.29,-6.890000000000015
2023-03-13,177.35,-0.9399999999999977
2023-03-14,183.8,6.450000000000017
2023-03-15,182.34,-1.460000000000008
2023-03-16,185.81,3.469999999999999
2023-03-17,186.22,0.4099999999999966
2023-03-20,186.44,0.21999999999999886
2023-03-21,198.0,11.560000000000002
2023-03-22,200.66,2.6599999999999966
2023-03-23,199.31,-1.3499999999999943
2023-03-24,192.36,-6.949999999999989
2023-03-27,197.39,5.029999999999973
2023-03-28,192.35,-5.039999999999992
2023-03-29,195.29,2.9399999999999977
2023-03-30,197.33,2.0400000000000205
2023-03-31,207.79,10.45999999999998
2023-04-03,202.69,-5.099999999999994
2023-04-04,198.74,-3.9499999999999886
2023-04-05,190.68,-8.060000000000002
2023-04-06,186.39,-4.2900000000000205
2023-04-10,185.1,-1.289999999999992
2023-04-11,189.19,4.090000000000003
2023-04-12,191.58,2.390000000000015
2023-04-13,186.5,-5.0800000000000125
2023-04-14,186.28,-0.21999999999999886
2023-04-17,189.69,3.4099999999999966
2023-04-18,187.69,-2.0
2023-04-19,183.5,-4.189999999999998
2023-04-20,169.7,-13.800000000000011
2023-04-21,166.0,-3.6999999999999886
2023-04-24,165.65,-0.3499999999999943
2023-04-25,163.47,-2.180000000000007
2023-04-26,160.67,-2.8000000000000114
2023-04-27,160.48,-0.18999999999999773
2023-04-28,165.0,4.52000000000001
2023-05-01,163.28,-1.7199999999999989
2023-05-02,165.49,2.210000000000008
2023-05-03,165.0,-0.4900000000000091
2023-05-04,162.95,-2.0500000000000114
2023-05-05,170.79,7.840000000000003
2023-05-08,173.8,3.0100000000000193
2023-05-09,169.82,-3.980000000000018
2023-05-10,174.43,4.610000000000014
2023-05-11,173.57,-0.8600000000000136
2023-05-12,177.38,3.8100000000000023
2023-05-15,169.76,-7.6200000000000045
2023-05-16,169.52,-0.23999999999998067
2023-05-17,174.5,4.97999999999999
2023-05-18,177.06,2.5600000000000023
2023-05-19,181.95,4.889999999999986
2023-05-22,189.32,7.3700000000000045
2023-05-23,192.96,3.640000000000015
2023-05-24,184.22,-8.740000000000009
2023-05-25,186.78,2.5600000000000023
2023-05-26,198.6,11.819999999999993
2023-05-30,204.48,5.8799999999999955
2023-05-31,203.95,-0.5300000000000011
2023-06-01,209.8,5.850000000000023
2023-06-02,217.25,7.449999999999989
2023-06-05,221.29,4.039999999999992
2023-06-06,221.91,0.6200000000000045
2023-06-07,230.83,8.920000000000016
2023-06-08,235.23,4.399999999999977
2023-06-09,252.42,17.189999999999998
2023-06-12,250.97,-1.4499999999999886
2023-06-13,259.68,8.710000000000008
2023-06-14,261.57,1.8899999999999864
2023-06-15,258.95,-2.6200000000000045
2023-06-16,263.6,4.650000000000034
2023-06-20,274.75,11.149999999999977
2023-06-21,276.99,2.240000000000009
2023-06-22,265.0,-11.990000000000009
2023-06-23,262.45,-2.5500000000000114
2023-06-26,258.37,-4.079999999999984
2023-06-27,250.39,-7.980000000000018
2023-06-28,259.88,9.490000000000009
2023-06-29,260.74,0.8600000000000136
2023-06-30,264.45,3.7099999999999795
2023-07-03,284.25,19.80000000000001
2023-07-05,283.85,-0.39999999999997726
2023-07-06,279.97,-3.8799999999999955
2023-07-07,280.78,0.8099999999999454
2023-07-10,277.52,-3.259999999999991
2023-07-11,270.9,-6.6200000000000045
2023-07-12,276.52,5.6200000000000045
2023-07-13,279.45,2.930000000000007
2023-07-14,285.3,5.850000000000023
2023-07-17,292.23,6.930000000000007
2023-07-18,295.26,3.0299999999999727
2023-07-19,299.29,4.03000000000003
2023-07-20,280.93,-18.360000000000014
2023-07-21,268.0,-12.930000000000007
2023-07-24,269.85,1.8500000000000227
2023-07-25,272.9,3.0499999999999545
2023-07-26,268.04,-4.859999999999957
2023-07-27,269.13,1.089999999999975
2023-07-28,267.25,-1.8799999999999955
2023-07-31,269.08,1.829999999999984
2023-08-01,266.47,-2.609999999999957
2023-08-02,259.52,-6.9500000000000455
2023-08-03,260.49,0.9700000000000273
2023-08-04,264.77,4.279999999999973
2023-08-07,253.65,-11.119999999999976
2023-08-08,250.92,-2.730000000000018
2023-08-09,251.1,0.18000000000000682
2023-08-10,251.8,0.700000000000017
2023-08-11,243.79,-8.01000000000002
2023-08-14,240.66,-3.1299999999999955
2023-08-15,240.5,-0.1599999999999966
2023-08-16,233.97,-6.530000000000001
2023-08-17,226.74,-7.22999999999999
2023-08-18,217.58,-9.159999999999997
2023-08-21,232.13,14.549999999999983
2023-08-22,240.82,8.689999999999998
2023-08-23,238.98,-1.8400000000000034
2023-08-24,238.92,-0.060000000000002274
2023-08-25,239.0,0.0800000000000125
2023-08-28,244.38,5.3799999999999955
2023-08-29,257.48,13.100000000000023
2023-08-30,260.51,3.0299999999999727
2023-08-31,261.18,0.6700000000000159
2023-09-01,259.08,-2.1000000000000227
2023-09-05,258.0,-1.079999999999984
2023-09-06,255.39,-2.6100000000000136
2023-09-07,252.81,-2.579999999999984
2023-09-08,256.52,3.7099999999999795
2023-09-11,274.85,18.33000000000004
2023-09-12,278.39,3.5399999999999636
2023-09-13,274.98,-3.409999999999968
2023-09-14,276.71,1.7299999999999613
2023-09-15,278.98,2.2700000000000387
2023-09-18,271.44,-7.5400000000000205
2023-09-19,267.85,-3.589999999999975
2023-09-20,273.93,6.079999999999984
2023-09-21,260.86,-13.069999999999993
2023-09-22,257.79,-3.069999999999993
2023-09-25,247.1,-10.690000000000026
2023-09-26,249.55,2.450000000000017
2023-09-27,245.33,-4.219999999999999
2023-09-28,247.55,2.219999999999999
2023-09-29,254.77,7.219999999999999
2023-10-02,254.28,-0.4900000000000091
2023-10-03,250.02,-4.259999999999991
2023-10-04,261.86,11.840000000000003
2023-10-05,263.6,1.740000000000009
2023-10-06,261.65,-1.9500000000000455
2023-10-09,261.36,-0.2899999999999636
2023-10-10,268.94,7.579999999999984
2023-10-11,268.6,-0.339999999999975
2023-10-12,265.41,-3.1899999999999977
2023-10-13,259.6,-5.810000000000002
2023-10-16,255.4,-4.200000000000017
2023-10-17,257.18,1.7800000000000011
2023-10-18,254.63,-2.5500000000000114
2023-10-19,230.61,-24.019999999999982
2023-10-20,218.86,-11.75
2023-10-23,216.98,-1.8800000000000239
2023-10-24,222.05,5.070000000000022
2023-10-25,220.1,-1.950000000000017
2023-10-26,214.8,-5.299999999999983
2023-10-27,212.41,-2.390000000000015
2023-10-30,210.88,-1.5300000000000011
2023-10-31,202.8,-8.079999999999984
2023-11-01,205.99,3.1899999999999977
2023-11-02,219.2,13.20999999999998
2023-11-03,226.37,7.170000000000016
2023-11-06,226.32,-0.05000000000001137
2023-11-07,223.12,-3.1999999999999886
2023-11-08,224.15,1.0300000000000011
2023-11-09,220.8,-3.3499999999999943
2023-11-10,215.38,-5.420000000000016
2023-11-13,225.4,10.02000000000001
2023-11-14,238.14,12.73999999999998
2023-11-15,246.7,8.560000000000002
2023-11-16,240.88,-5.819999999999993
2023-11-17,237.39,-3.490000000000009
2023-11-20,237.1,-0.28999999999999204
2023-11-21,243.62,6.52000000000001
2023-11-22,244.01,0.38999999999998636
2023-11-24,238.75,-5.259999999999991
2023-11-27,238.33,-0.4199999999999875
2023-11-28,247.0,8.669999999999987
2023-11-29,252.75,5.75
2023-11-30,245.22,-7.530000000000001
2023-12-01,240.19,-5.030000000000001
2023-12-04,239.37,-0.8199999999999932
2023-12-05,246.66,7.289999999999992
2023-12-06,246.57,-0.09000000000000341
2023-12-07,244.08,-2.4899999999999807
2023-12-08,245.27,1.1899999999999977
2023-12-11,243.44,-1.8300000000000125
2023-12-12,238.99,-4.449999999999989
2023-12-13,240.3,1.3100000000000023
2023-12-14,253.88,13.579999999999984
2023-12-15,254.13,0.25
2023-12-18,258.74,4.610000000000014
2023-12-19,258.34,-0.4000000000000341
2023-12-20,259.84,1.5
2023-12-21,254.8,-5.039999999999964
2023-12-22,258.22,3.420000000000016
2023-12-26,257.97,-0.25
2023-12-27,263.34,5.369999999999948
2023-12-28,265.13,1.7900000000000205
2023-12-29,255.19,-9.939999999999998
2024-01-02,251.25,-3.9399999999999977
2024-01-03,245.68,-5.569999999999993
2024-01-04,242.7,-2.980000000000018
2024-01-05,240.12,-2.579999999999984
2024-01-08,241.25,1.1299999999999955
2024-01-09,238.96,-2.289999999999992
2024-01-10,235.5,-3.460000000000008
2024-01-11,230.93,-4.569999999999993
2024-01-12,225.34,-5.590000000000003
2024-01-16,223.49,-1.8499999999999943
2024-01-17,215.67,-7.820000000000022
2024-01-18,217.45,1.7800000000000011
2024-01-19,213.19,-4.259999999999991
2024-01-22,217.8,4.610000000000014
2024-01-23,215.65,-2.1500000000000057
2024-01-24,212.73,-2.920000000000016
2024-01-25,193.0,-19.72999999999999
2024-01-26,186.78,-6.219999999999999
2024-01-29,191.48,4.699999999999989
2024-01-30,196.36,4.880000000000024
2024-01-31,193.97,-2.390000000000015
2024-02-01,189.88,-4.090000000000003
2024-02-02,188.69,-1.1899999999999977
2024-02-05,184.68,-4.009999999999991
2024-02-06,186.49,1.8100000000000023
2024-02-07,189.79,3.299999999999983
2024-02-08,191.62,1.8300000000000125
2024-02-09,194.12,2.5
2024-02-12,194.73,0.6099999999999852
2024-02-13,187.26,-7.469999999999999
2024-02-14,188.89,1.6299999999999955
2024-02-15,200.88,11.990000000000009
2024-02-16,203.17,2.289999999999992
2024-02-20,198.6,-4.569999999999993
2024-02-21,199.44,0.8400000000000034
2024-02-22,198.32,-1.1200000000000045
2024-02-23,197.57,-0.75
2024-02-26,201.78,4.210000000000008
2024-02-27,205.6,3.819999999999993
2024-02-28,205.3,-0.29999999999998295
2024-02-29,205.28,-0.020000000000010232
2024-03-01,204.52,-0.7599999999999909
2024-03-04,199.75,-4.77000000000001
